date,HUFL,HULL,MUFL,MULL,LUFL,LULL,OT
01/07/2016 00:00,41.13000107,12.48099995,36.5359993,9.354999542,4.423999786,1.31099999,38.66199875
01/07/2016 01:00,37.52799988,10.13599968,33.93600082,7.532000065,4.434999943,1.215000033,37.12400055
01/07/2016 02:00,37.9469986,11.30900002,35.33000183,9.006999969,2.099999905,0,36.46500015
01/07/2016 03:00,38.95199966,11.89500046,35.54399872,9.43599987,3.380000114,1.215000033,33.60850143
01/07/2016 04:00,38.11399841,11.47599983,35.40999985,9.623000145,2.036000013,0,31.85050011
01/07/2016 05:00,36.77399826,10.97399998,34.9280014,9.248000145,2.036000013,0,30.53199959
01/07/2016 06:00,39.0359993,11.81099987,37.15299988,10.07900047,2.036000013,0,30.09300041
01/07/2016 07:00,39.37099838,11.30900002,36.5359993,9.409000397,2.068000078,0,29.87299919
01/07/2016 08:00,33.92599869,8.461000443,31.89900017,6.486999989,2.015000105,0,29.65299988
01/07/2016 09:00,38.44900131,13.90499973,37.28699875,12.14299965,1.269000053,0,29.21349907
01/07/2016 10:00,35.93600082,9.550000191,34.25799942,8.041999817,1.269000053,0,27.45599937
01/07/2016 11:00,35.76900101,9.465999603,33.93600082,7.907999992,1.269000053,0,27.45599937
01/07/2016 12:00,40.20899963,12.98400021,38.76100159,11.09799957,1.343000054,0,27.23649979
01/07/2016 13:00,37.02500153,11.89500046,35.73199844,10.42700005,1.386000037,0,26.57699966
01/07/2016 14:00,39.95700073,13.31900024,38.57300186,11.41899967,1.289999962,0,26.79700089
01/07/2016 15:00,40.29199982,13.48700047,39.05599976,11.875,1.269000053,0,26.79700089
01/07/2016 16:00,40.87900162,13.56999969,39.45800018,11.84799957,1.493000031,0,26.79700089
01/07/2016 17:00,42.13499832,13.40299988,39.24399948,11.28499985,2.707999945,0,26.57749939
01/07/2016 18:00,42.72200012,13.98900032,39.37799835,11.60700035,2.707999945,0,26.57749939
01/07/2016 19:00,37.36100006,10.47099972,34.47200012,8.604999542,2.707999945,0,26.13750076
01/07/2016 20:00,41.13000107,12.64900017,37.76900101,10.40100002,2.707999945,0,26.13750076
01/07/2016 21:00,36.52299881,10.47099972,33.50699997,8.496999741,2.707999945,0,25.69849968
01/07/2016 22:00,36.10400009,10.38700008,34.12400055,9.006999969,2.707999945,0,25.91799927
01/07/2016 23:00,36.43899918,10.63899994,33.47999954,8.925999641,2.707999945,0,25.91799927
02/07/2016 00:00,35.60100174,11.47599983,33.69499969,9.890999794,1.534999967,0,25.91799927
02/07/2016 01:00,32.92100143,9.968000412,32.27399826,8.819000244,0,0,26.35750008
02/07/2016 02:00,31.32900047,9.550000191,30.34399986,8.496999741,0,0,26.13750076
02/07/2016 03:00,30.6590004,9.213999748,29.83499908,8.255999565,0,0,25.69849968
02/07/2016 04:00,30.82699966,9.130999565,29.75399971,8.015000343,1.215000033,0,25.69849968
02/07/2016 05:00,29.48600006,8.293000221,28.54800034,7.157000065,0,0,25.91799927
02/07/2016 06:00,30.07299995,7.454999924,28.68199921,6.111999989,1.289999962,0,25.91799927
02/07/2016 07:00,33.08800125,8.711999893,30.96100044,7.022999763,1.258000016,0,25.91799927
02/07/2016 08:00,34.09400177,8.87899971,31.54999924,7.397999763,2.483999968,0,25.47850037
02/07/2016 09:00,34.59600067,9.381999969,31.97900009,7.612999916,2.483999968,0,25.69799995
02/07/2016 10:00,29.82099915,8.125,27.50300026,6.620999813,2.483999968,0,25.91799927
02/07/2016 11:00,31.58099937,7.706999779,28.76300049,6.004000187,2.483999968,0,25.91799927
02/07/2016 12:00,30.57500076,7.203999996,27.95800018,5.789999962,2.483999968,0,26.13750076
02/07/2016 13:00,30.15600014,7.203999996,27.39500046,5.521999836,2.483999968,0,26.35750008
02/07/2016 14:00,29.31900024,6.449999809,26.40399933,4.879000187,2.483999968,0,26.57749939
02/07/2016 15:00,30.90999985,7.454999924,27.8239994,5.736000061,2.483999968,0,27.45599937
02/07/2016 16:00,32.33399963,8.711999893,28.36000061,6.620999813,3.881000042,1.225999951,27.6760006
02/07/2016 17:00,32.16699982,7.706999779,28.36000061,5.736000061,3.763000011,0,28.1154995
02/07/2016 18:00,31.83200073,7.539000034,28.95000076,5.789999962,3.753000021,0,28.55450058
02/07/2016 19:00,32.25099945,8.293000221,27.8239994,5.978000164,3.753000021,1.225999951,28.77449989
02/07/2016 20:00,31.91600037,7.539000034,27.42200089,5.388000011,5.043000221,1.236999989,29.6534996
02/07/2016 21:00,31.32900047,8.376999855,28.68199921,6.593999863,3.604000092,0,29.21349907
02/07/2016 22:00,36.10400009,9.550000191,32.51499939,7.157000065,4.882999897,1.588999987,27.89550018
02/07/2016 23:00,36.02000046,10.05200005,32.56900024,7.907999992,3.433000088,0,27.23649979
03/07/2016 00:00,36.35499954,9.968000412,32.51499939,7.827000141,3.433000088,0,27.67550087
03/07/2016 01:00,35.18299866,12.06299973,31.38999939,9.784000397,3.433000088,1.322000027,28.55450058
03/07/2016 02:00,36.85800171,11.22500038,32.67599869,8.791999817,3.433000088,1.236999989,28.55450058
03/07/2016 03:00,35.18299866,10.47099972,32.06000137,8.524000168,3.433000088,0,28.55450058
03/07/2016 04:00,32.16699982,8.87899971,28.70899963,6.915999889,3.433000088,0,28.1154995
03/07/2016 05:00,34.00999832,10.13599968,30.45100021,8.282999992,3.433000088,0,28.1154995
03/07/2016 06:00,34.17699814,10.22000027,32.30099869,8.899999619,1.98300004,0,27.89550018
03/07/2016 07:00,32.75299835,8.963000298,29.59399986,7.077000141,3.155999899,0,27.67550087
03/07/2016 08:00,32.41799927,8.87899971,29.40600014,7.130000114,3.155999899,0,27.23649979
03/07/2016 09:00,29.56999969,10.72200012,27.34199905,9.569999695,3.155999899,0,28.1154995
03/07/2016 10:00,34.51200104,12.06299973,30.98699951,9.998999596,3.155999899,0,28.77400017
03/07/2016 11:00,33.5909996,11.3920002,29.96899986,9.328000069,3.155999899,0,29.6534996
03/07/2016 12:00,35.51800156,12.81599998,32.03300095,10.72200012,3.155999899,0,31.41150093
03/07/2016 13:00,35.68500137,13.15200043,33.13199997,11.0710001,3.155999899,0,31.41150093
03/07/2016 14:00,33.84199905,12.48099995,30.61199951,10.40100002,3.01699996,0,31.41150093
03/07/2016 15:00,32.66999817,12.31400013,29.86199951,10.29300022,3.01699996,0,31.41150093
03/07/2016 16:00,34.09400177,12.31400013,31.06800079,10.29300022,3.01699996,0,32.50999832
03/07/2016 17:00,40.45999908,14.32400036,36.88499832,11.84799957,3.01699996,0,32.72949982
03/07/2016 18:00,40.29199982,13.65400028,37.04600143,11.5,3.01699996,0,32.94900131
03/07/2016 19:00,35.60100174,11.3920002,32.72999954,9.354999542,2.516000032,0,32.94900131
03/07/2016 20:00,37.36100006,11.64400005,34.09700012,9.48900032,3.923000097,0,31.85050011
03/07/2016 21:00,38.2820015,12.7329998,35.0890007,10.5880003,3.923000097,0,30.75200081
03/07/2016 22:00,38.19800186,13.06799984,34.36500168,10.56099987,3.923000097,1.246999979,29.87299919
03/07/2016 23:00,37.52799988,12.64900017,33.99000168,10.40100002,3.421999931,0,29.43350029
04/07/2016 00:00,36.43899918,13.15200043,33.99000168,10.98999977,3.325999975,0,28.99399948
04/07/2016 01:00,37.36100006,13.56999969,35.4640007,11.98200035,2.099999905,0,28.33499908
04/07/2016 02:00,31.24500084,10.22000027,29.35199928,8.819000244,1.940000057,0,28.77449989
04/07/2016 03:00,34.68000031,12.7329998,32.38100052,11.1239996,1.940000057,0,28.55500031
04/07/2016 04:00,31.16200066,11.56000042,29.13800049,9.595999718,1.91900003,0,28.55500031
04/07/2016 05:00,33.34000015,12.56499958,30.53199959,10.6420002,3.187999964,0,28.33499908
04/07/2016 06:00,38.19800186,13.82199955,34.71300125,11.66100025,3.187999964,0,27.89550018
04/07/2016 07:00,37.77899933,13.65400028,34.41899872,11.47299957,3.209000111,0,27.6760006
04/07/2016 08:00,33.84199905,9.465999603,31.63100052,8.203000069,1.962000012,0,27.89550018
04/07/2016 09:00,35.93600082,11.47599983,34.01599884,9.890999794,1.962000012,0,28.99399948
04/07/2016 10:00,35.01499939,10.05200005,32.89099884,8.416999817,1.962000012,0,30.9715004
04/07/2016 11:00,38.2820015,12.64900017,36.02700043,10.72200012,1.962000012,0,32.5094986
04/07/2016 12:00,41.9679985,13.65400028,39.67300034,11.74100018,1.962000012,0,35.14649963
04/07/2016 13:00,40.45999908,13.48700047,38.49300003,11.57999992,1.962000012,0,36.46500015
04/07/2016 14:00,38.78499985,13.06799984,36.75099945,11.17800045,1.962000012,0,37.78350067
04/07/2016 15:00,39.79000092,12.39799976,37.82300186,10.61499977,1.962000012,0,37.34349823
04/07/2016 16:00,38.86800003,12.48099995,36.77700043,10.48099995,1.962000012,0,36.90449905
04/07/2016 17:00,39.62200165,12.39799976,36.93799973,10.2130003,1.962000012,0,33.82799911
04/07/2016 18:00,43.97800064,13.48700047,40.28900146,10.77600002,3.187999964,0,32.94900131
04/07/2016 19:00,37.44400024,9.968000412,34.98199844,7.747000217,3.187999964,0,33.16899872
04/07/2016 20:00,40.29199982,11.97900009,36.02700043,9.11400032,4.370999813,1.31099999,32.72949982
04/07/2016 21:00,41.38100052,12.31400013,38.6269989,10.07900047,3.092000008,0,32.07049942
04/07/2016 22:00,36.52299881,9.800999641,33.2120018,7.69299984,4.455999851,0,31.63100052
04/07/2016 23:00,37.02500153,10.80599976,33.07799911,8.604999542,4.446000099,1.246999979,31.63100052
05/07/2016 00:00,35.51800156,10.22000027,32.30099869,8.444000244,3.209000111,0,31.41150093
05/07/2016 01:00,34.42900085,9.465999603,31.09499931,7.479000092,3.209000111,0,30.9715004
05/07/2016 02:00,35.60100174,10.38700008,32.19400024,8.550999641,3.220000029,0,30.53249931
05/07/2016 03:00,37.02500153,11.64400005,34.28499985,9.729999542,3.220000029,0,28.99399948
05/07/2016 04:00,33.50699997,9.717000008,30.82699966,7.960999966,2.984999895,0,28.77449989
05/07/2016 05:00,35.60100174,10.22000027,32.54199982,8.444000244,2.984999895,0,29.43350029
05/07/2016 06:00,39.5379982,12.31400013,36.18799973,10.18599987,2.974999905,0,30.09250069
05/07/2016 07:00,37.9469986,12.06299973,35.57099915,10.02499962,2.974999905,0,31.19149971
05/07/2016 08:00,36.35499954,9.968000412,33.40000153,7.960999966,2.974999905,0,31.63100052
05/07/2016 09:00,36.77399826,11.47599983,34.9280014,9.756999969,2.974999905,0,31.63100052
05/07/2016 10:00,38.11399841,11.3920002,36.10699844,9.729999542,2.974999905,0,33.38899994
05/07/2016 11:00,41.88399887,13.40299988,39.75299835,11.47299957,1.715999961,0,34.48749924
05/07/2016 12:00,42.13499832,13.56999969,40.50299835,11.66100025,1.715999961,0,34.04750061
05/07/2016 13:00,41.7159996,13.06799984,39.18999863,10.96399975,2.943000078,0,32.07049942
05/07/2016 14:00,39.37099838,11.56000042,36.24100113,9.48900032,2.943000078,0,30.9715004
05/07/2016 15:00,42.88899994,14.15699959,40.07500076,11.90200043,2.943000078,0,30.75200081
05/07/2016 16:00,39.11999893,12.81599998,36.24100113,10.66899967,2.943000078,0,31.85050011
05/07/2016 17:00,39.20299911,12.48099995,35.6780014,10.07900047,2.943000078,0,32.94900131
